Model,MSE,R2_Score
Linear Regression,0.26605613828125246,0.7327754871974891
Random Forest (Default),0.30922641304246457,0.6894156319611466
Random Forest (Tuned),0.2569208158120031,0.7419509270573219
Gradient Boosting (Default),0.25385351701003234,0.7450316957750498
Gradient Boosting (Tuned),0.2535555825773575,0.7453309385744564
