Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted
Logistic Regression (Tuned),0.43591682419659733,0.36645767604962887,0.43591682419659733,0.36769278413394807
Random Forest (Tuned),0.5098298676748583,0.5036435092148369,0.5098298676748583,0.4892507654799775
Gradient Boosting (Tuned),0.4985822306238185,0.49130975772840324,0.4985822306238185,0.4538232473831253
XGBoost (Tuned),0.5192816635160681,0.5106836294209813,0.5192816635160681,0.496410844705804
LightGBM (Tuned),0.5039697542533081,0.5083702385626824,0.5039697542533081,0.4609289746201378
